d,n,j,D_original,D_squarefree,tunnell_result
92124086879,2,303520,184248173760,2878877715,✓ CONFIRMADO
35713629379,2,188981,71427258760,17856814690,✓ CONFIRMADO
78314623,5,55970,6265169860,1566292465,✓ CONFIRMADO
407737055,2,20193,815474112,12741783,✓ CONFIRMADO
32650140941,2,180694,65300281884,1813896719,✓ CONFIRMADO
810170831,2,28464,1620341664,101271354,✓ CONFIRMADO
91827483929,2,303031,183654967860,5101526885,✓ CONFIRMADO
4663229,13,66067,8729564844,18036291,✓ CONFIRMADO
592508621,2,24342,1185017244,296254311,✓ CONFIRMADO
44836580261,2,211747,89673160524,22418290131,✓ CONFIRMADO
582667181,2,24139,1165334364,3596711,✓ CONFIRMADO
57740485555,2,240293,115480971112,28870242778,✓ CONFIRMADO
6997238849,2,83650,13994477700,139944777,✓ CONFIRMADO
20634316961,2,143647,41268633924,10317158481,✓ CONFIRMADO
1815569489,2,42610,3631138980,907784745,✓ CONFIRMADO
41093573939,2,202716,82187147880,2282976330,✓ CONFIRMADO
7667891921,2,87567,15335783844,13266249,✓ CONFIRMADO
42440738131,2,206012,84881476264,125564314,✓ CONFIRMADO
44759114531,2,211564,89518229064,2486617474,✓ CONFIRMADO
2654373,6,14110,398155980,99538995,✓ CONFIRMADO
48584315141,2,220419,97168630284,2699128619,✓ CONFIRMADO
848353001,2,29127,1696706004,424176501,✓ CONFIRMADO
22245573349,2,149150,44491146700,444911467,✓ CONFIRMADO
54730029079,2,233945,109460058160,6841253635,✓ CONFIRMADO
43141990141,2,207707,86283980284,21570995071,✓ CONFIRMADO
40454282555,2,201133,80908565112,2247460142,✓ CONFIRMADO
34599906109,2,186011,69199812220,17299953055,✓ CONFIRMADO
12662213201,2,112527,25324426404,703456289,✓ CONFIRMADO
8600058431,2,92737,17200116864,29861314,✓ CONFIRMADO
5276206405,2,72638,10552412812,2638103203,✓ CONFIRMADO
56807147305,2,238343,113614294612,28403573653,✓ CONFIRMADO
64965088805,2,254883,129930177612,32482544403,✓ CONFIRMADO
12487727251,2,111749,24975454504,6243863626,✓ CONFIRMADO
400308228,4,84886,14411096220,3602774055,✓ CONFIRMADO
8923919621,2,94467,17847839244,4461959811,✓ CONFIRMADO
19824499199,2,140800,39648998400,1548789,✓ CONFIRMADO
2164436051,2,46524,4328872104,1082218026,✓ CONFIRMADO
1428616586,5,239050,114289326900,126988141,✓ CONFIRMADO
183228022,9,229717,105539340744,325738706,✓ CONFIRMADO
11386063729,2,106706,22772127460,5693031865,✓ CONFIRMADO
1470292802,4,162682,52930540884,13232635221,✓ CONFIRMADO
12647139139,2,112460,25294278280,6323569570,✓ CONFIRMADO
71604140509,2,267590,143208281020,730654495,✓ CONFIRMADO
663912521,2,25767,1327825044,36884029,✓ CONFIRMADO
10919719,2,3305,21839440,1364965,✓ CONFIRMADO
26589378905,2,163063,53178757812,1477187717,✓ CONFIRMADO
249322972,8,221060,97734605080,24433651270,✓ CONFIRMADO
204760768,8,200333,80266221112,20066555278,✓ CONFIRMADO
4383637,9,35532,2524974984,70138194,✓ CONFIRMADO
677118461,2,26022,1354236924,338559231,✓ CONFIRMADO
914839643,5,191295,73187171460,2032976985,✓ CONFIRMADO
